,대여소_ID,주소1,주소2,위도,경도,isin강서,주소,용도지역_1,용도지역_2,용도지역_3,용도지역_4,용도지역
0,ST-975,서울특별시 강서구 마곡서1로 111-12,신방화역환승주차장,37.567284,126.818275,강서,서울 강서구 마곡서1로 111-12,도시지역,일반상업지역,중요시설물보호지구(공항),지구단위계획구역,
1,ST-837,서울특별시 강서구 강서로 지하 54,강서구 화곡동 662-5,37.532551,126.846321,강서,서울 강서구 화곡동 662-5,제3종일반주거지역,도시지역,제2종일반주거지역,일반상업지역,
2,ST-836,서울특별시 강서구 곰달래로37길 13,강서구곰달래로37길 13,37.53178,126.854485,강서,서울 강서구 곰달래로37길 13,제2종일반주거지역,도시지역,중요시설물보호지구(공항),과밀억제권역,
3,ST-835,서울특별시 강서구 강서로 304,강서구 내발산동 724-42,37.552914,126.836571,강서,서울 강서구 강서로 304,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
4,ST-834,서울특별시 강서구 공항대로 329,강서구 등촌동 675-7,37.558197,126.844261,강서,서울 강서구 공항대로 329,제3종일반주거지역,도시관리계획 입안중,도시지역,건축선,
5,ST-833,서울특별시 강서구 공항대로59길 8,강서구 등촌동 666-90,37.551666,126.86409,강서,서울 강서구 공항대로59길 8,도시관리계획 입안중,도시지역,준주거지역,중요시설물보호지구(공항),
6,ST-832,서울특별시 강서구 방화대로47가길 22,강서구 방화동 830-15,37.577213,126.813553,강서,서울 강서구 방화대로47가길 22,제3종일반주거지역,도시지역,제2종일반주거지역,중요시설물보호지구(공항),
7,ST-831,서울특별시 강서구 방화동 829-11,,37.577106,126.811996,강서,서울 강서구 방화동 829-11,제3종일반주거지역,도시지역,준주거지역,중요시설물보호지구(공항),
8,ST-829,서울특별시 강서구 화곡로 지하 168,화곡역 6번출구,37.541412,126.840225,강서,서울 강서구 화곡로 168,제3종일반주거지역,도시관리계획 입안중,도시지역,일반상업지역,
9,ST-828,서울특별시 강서구 방화대로 241 공항중학교,,37.562202,126.816246,강서,서울 강서구 방화대로 241,도시지역,제2종일반주거지역,건축선,중요시설물보호지구(공항),
10,ST-824,서울특별시 강서구 양천로24길 13 마곡센트레빌,,37.572563,126.816422,강서,서울 강서구 양천로24길 13,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
11,ST-538,서울특별시 강서구 까치산로4길 22,강서구 화곡동 98-148,37.54147,126.84478,강서,서울 강서구 까치산로4길 22,제2종일반주거지역,도시지역,중요시설물보호지구(공항),공원,
12,ST-537,서울특별시 강서구 곰달래로 51,355-48,37.530338,126.838257,강서,서울 강서구 곰달래로 51,도시지역,제2종일반주거지역,중요시설물보호지구(공항),진입표면구역,
13,ST-536,서울특별시 강서구 강서로5길 50,강서구 화곡동 941-2,37.528919,126.848084,강서,서울 강서구 강서로5길 50,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
14,ST-535,서울특별시 강서구 강서로5길 50,강서구 화곡동 941-2,37.52906,126.84848,강서,서울 강서구 강서로5길 50,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
15,ST-534,서울특별시 강서구 등촌로 19,강서구 화곡동 939-3,37.531399,126.863609,강서,서울 강서구 등촌로 19,도시지역,준주거지역,건축선,제1종지구단위계획구역,
16,ST-533,서울특별시 강서구 등촌로 95 대일빌딩,,37.538521,126.863434,강서,서울 강서구 등촌로 95,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
17,ST-532,서울특별시 강서구 등촌로 137 대림아파트,,37.541264,126.863373,강서,서울 강서구 등촌로 137,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
18,ST-531,서울특별시 강서구 등촌로 167,강서구 등촌동 608-6,37.544788,126.862,강서,서울 강서구 등촌로 167,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
19,ST-530,서울특별시 강서구 등촌로 185,강서구 등촌동 608-4,37.546532,126.862549,강서,서울 강서구 등촌로 185,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
20,ST-529,서울특별시 강서구 등촌로51나길 29,강서구 등촌동 520-6,37.548061,126.86042,강서,서울 강서구 등촌로51나길 29,도시관리계획 입안중,도시지역,제1종일반주거지역,중요시설물보호지구(공항),
21,ST-528,서울특별시 강서구 공항대로 지하 529,강서구 등촌동 505-3,37.551109,126.863709,강서,서울 강서구 공항대로 529,제3종일반주거지역,도시관리계획 입안중,도시지역,준주거지역,
22,ST-527,서울특별시 강서구 화곡로 232,강서구 화곡동 94-6,37.546444,126.845459,강서,서울 강서구 화곡로 232,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
23,ST-526,서울특별시 강서구 화곡로 196,강서구 화곡동 109-12,37.542751,126.842621,강서,서울 강서구 화곡로 196,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
24,ST-525,서울특별시 강서구 화곡로 지하 168,강서구 화곡동 1089-43,37.542099,126.840218,강서,서울 강서구 화곡로 168,제3종일반주거지역,도시관리계획 입안중,도시지역,일반상업지역,
25,ST-524,서울특별시 강서구 화곡로 157,강서구 화곡동 1089-52,37.540981,126.838547,강서,서울 강서구 화곡로 157,도시관리계획 입안중,도시지역,일반상업지역,건축선,
26,ST-523,서울특별시 강서구 강서로 지하 262,강서구 화곡동 1159-6,37.548908,126.836563,강서,서울 강서구 강서로 262,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
27,ST-522,서울특별시 강서구 내발산동 645,,37.558178,126.838455,강서,서울 강서구 내발산동 645,제3종일반주거지역,도시지역,중요시설물보호지구(공항),도로,
28,ST-521,서울특별시 강서구 강서로80길 117,강서구 가양동 1459-9,37.57048,126.849503,강서,서울 강서구 강서로80길 117,도시지역,자연녹지지역,중요시설물보호지구(공항),제1종지구단위계획구역,
29,ST-520,서울특별시 강서구 허준로 221-40 공원관리사무실,,37.561924,126.864166,강서,서울 강서구 허준로 221-40,도시지역,자연녹지지역,중요시설물보호지구(공항),제1종지구단위계획구역,
30,ST-519,서울특별시 강서구 양천로61길 101,강서구 가양동 1484-5,37.559479,126.86438,강서,서울 강서구 양천로61길 101,도시지역,자연녹지지역,제1종일반주거지역,제1종지구단위계획구역,
31,ST-518,서울특별시 강서구 허준로 139 강변아파트,,37.564785,126.854645,강서,서울 강서구 허준로 139,제3종일반주거지역,도시지역,제1종일반주거지역,중요시설물보호지구(공항),
32,ST-517,서울특별시 강서구 양천로 637,강서구 염창동 284-18,37.554253,126.867561,강서,서울 강서구 양천로 637,도시지역,준공업지역,건축선,과밀억제권역,
33,ST-516,서울특별시 강서구 양천로 지하 560,강서구 등촌동 666-40,37.557461,126.861458,강서,서울 강서구 양천로 560,도시관리계획 입안중,도시지역,준공업지역,중요시설물보호지구(공항),
34,ST-515,서울특별시 강서구 양천로 200,강서구 마곡동 223-6,37.572781,126.826279,강서,서울 강서구 양천로 200,도시지역,자연녹지지역,준공업지역,중요시설물보호지구(공항),
35,ST-514,서울특별시 강서구 마곡동 221-4,,37.573124,126.822388,강서,서울 강서구 마곡동 221-4,도시지역,자연녹지지역,중요시설물보호지구(공항),제1종지구단위계획구역,
36,ST-513,서울특별시 강서구 마곡서로 175,강서구 마곡동 754-6,37.568577,126.824776,강서,서울 강서구 마곡서로 175,제3종일반주거지역,도시지역,중요시설물보호지구(공항),지구단위계획구역,
37,ST-512,서울특별시 강서구 마곡중앙5로 58,강서구 마곡동 743-3,37.566982,126.8218,강서,서울 강서구 마곡중앙5로 58,제3종일반주거지역,도시지역,중요시설물보호지구(공항),지구단위계획구역,
38,ST-511,서울특별시 강서구 방화동로 지하 30,강서구 공항동 산20-2,37.563347,126.810486,강서,서울 강서구 공항동 산 20-2,도시관리계획 입안중,도시지역,제2종일반주거지역,근린상업지역,
39,ST-510,서울특별시 강서구 방화동 614-287,,37.563873,126.810608,강서,서울 강서구 방화동 614-287,도시관리계획 입안중,도시지역,제2종일반주거지역,중요시설물보호지구(공항),
40,ST-509,서울특별시 강서구 금낭화로 176,강서구 방화동 855,37.581623,126.812653,강서,서울 강서구 금낭화로 178,도시지역,자연녹지지역,제1종일반주거지역,비오톱1등급,
41,ST-508,서울특별시 강서구 양천로17길 6,강서구 방화동 769-23,37.573643,126.811806,강서,서울 강서구 양천로17길 6,도시지역,제2종일반주거지역,중요시설물보호지구(공항),과밀억제권역,
42,ST-507,서울특별시 강서구 개화동로5길 3-8,강서구 개화동 424-2,37.581612,126.798599,강서,서울 강서구 개화동로5길 3-8,도시지역,전용주거지역,중요시설물보호지구(공항),과밀억제권역,
43,ST-3284,서울특별시 강서구 남부순환로 222 서울자동차학원,,37.546135,126.82106,강서,서울 강서구 남부순환로 222,도시관리계획 입안중,자연녹지지역,도시지역,중요시설물보호지구(공항),
44,ST-3281,서울특별시 강서구 양천로57길 36 가양5단지아파트,,37.56448,126.854645,강서,서울 강서구 양천로57길 36,제3종일반주거지역,도시지역,제1종일반주거지역,중요시설물보호지구(공항),
45,ST-3276,서울특별시 강서구 화곡동 1089-50,,37.540981,126.837433,강서,서울 강서구 화곡동 1089-50,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
46,ST-3263,서울특별시 강서구 양천로 201,,37.573318,126.830071,강서,서울 강서구 양천로 201,도시지역,자연녹지지역,중요시설물보호지구(공항),하수도,
47,ST-3261,서울특별시 강서구 마곡중앙10로 10 LG사이언스파크,,37.564037,126.829788,강서,서울 강서구 마곡중앙10로 10,자연녹지지역,도시지역,준공업지역,중요시설물보호지구(공항),
48,ST-3260,서울특별시 강서구 마곡중앙10로 30 LG사이언스파크,,37.561535,126.83194,강서,서울 강서구 마곡중앙10로 30,자연녹지지역,도시지역,준공업지역,중요시설물보호지구(공항),
49,ST-3259,서울특별시 강서구 마곡중앙10로 30 LG사이언스파크,,37.563816,126.832085,강서,서울 강서구 마곡중앙10로 30,자연녹지지역,도시지역,준공업지역,중요시설물보호지구(공항),
50,ST-3251,서울특별시 강서구 마곡중앙10로 70 LG사이언스파크,,37.563496,126.835831,강서,서울 강서구 마곡중앙10로 70,도시지역,준공업지역,중요시설물보호지구(공항),지구단위계획구역,
51,ST-3226,서울특별시 강서구 강서로56길 49 원당공원화장실,,37.559475,126.841476,강서,서울 강서구 강서로56길 49,자연녹지지역,제2종일반주거지역,도시지역,중요시설물보호지구(공항),
52,ST-3183,서울특별시 강서구 화곡동 947-3,,37.528412,126.846039,강서,서울 강서구 화곡동 947-3,제3종일반주거지역,도시관리계획 입안중,도시지역,제1종일반주거지역,
53,ST-3145,서울특별시 강서구 공항대로 213 보타닉파크타워2,,37.559486,126.831314,강서,서울 강서구 공항대로 213,도시지역,일반상업지역,중요시설물보호지구(공항),지구단위계획구역,
54,ST-3137,서울특별시 강서구 마곡동 761-5,,37.569809,126.828575,강서,서울 강서구 마곡동 761-5,도시관리계획 입안중,자연녹지지역,도시지역,일반상업지역,
55,ST-3129,서울특별시 강서구 방화대로50길 8 연세강서빌딩,,37.576252,126.817345,강서,서울 강서구 방화대로50길 8,제3종일반주거지역,도시지역,중요시설물보호지구(공항),제1종지구단위계획구역,
56,ST-3128,서울특별시 강서구 마곡중앙10로 70 LG사이언스파크,,37.563648,126.834541,강서,서울 강서구 마곡중앙10로 70,도시지역,준공업지역,중요시설물보호지구(공항),지구단위계획구역,
57,ST-3125,서울특별시 강서구 공항대로 543 센터스퀘어,,37.550648,126.866165,강서,서울 강서구 공항대로 543,도시관리계획 입안중,제2종일반주거지역,도시지역,준주거지역,
58,ST-3118,서울특별시 강서구 허준로 217 가양테크노타운,,37.56036,126.862762,강서,서울 강서구 허준로 217,제3종일반주거지역,도시지역,중요시설물보호지구(공항),지구단위계획구역,
59,ST-3100,서울특별시 강서구 등촌동 681-2,,37.564182,126.840279,강서,서울 강서구 등촌동 681-2,도시지역,준주거지역,중요시설물보호지구(공항),지구단위계획구역,
60,ST-3094,서울특별시 강서구 화곡로 416 가양역 더스카이밸리5차 지식산업센터,,37.560196,126.854912,강서,서울 강서구 화곡로 416,도시지역,준공업지역,건축선,중요시설물보호지구(공항),
61,ST-3084,서울특별시 강서구 가양동 14-26,,37.562508,126.852753,강서,서울 강서구 가양동 14-26,도시관리계획 입안중,도시지역,준공업지역,일반상업지역,
62,ST-3068,서울특별시 강서구 양천로 660 왈도강서캠퍼스,,37.552216,126.870224,강서,서울 강서구 양천로 660,도시지역,준공업지역,건축선,과밀억제권역,
63,ST-3031,서울특별시 강서구 외발산동 276-9,,37.549263,126.816742,강서,서울 강서구 외발산동 276-9,도시관리계획 입안중,자연녹지지역,도시지역,중요시설물보호지구(공항),
64,ST-2994,서울특별시 강서구 공항대로 509 우림보보카운티뷰오피스텔,,37.551884,126.863571,강서,서울 강서구 공항대로 509,도시관리계획 입안중,제2종일반주거지역,도시지역,준주거지역,
65,ST-2993,서울특별시 강서구 마곡동 798-17,,37.558235,126.82576,강서,서울 강서구 마곡동 798-17,도시지역,준주거지역,중요시설물보호지구(공항),지구단위계획구역,
66,ST-2992,서울특별시 강서구 화곡동 1013-3,,37.546619,126.836235,강서,서울 강서구 화곡동 1013-3,주거지역,주거지역,주거지역,주거지역,
67,ST-2965,서울특별시 강서구 마곡동 748-4,,37.556763,126.818695,강서,서울 강서구 마곡동 748-4,주거지역,주거지역,주거지역,주거지역,
68,ST-2947,서울특별시 강서구 방화동 886-15,,37.561546,126.807083,강서,서울 강서구 방화동 886-15,제3종일반주거지역,도시관리계획 입안중,자연녹지지역,도시지역,
69,ST-2946,서울특별시 강서구 염창동 284-46,,37.550858,126.872337,강서,서울 강서구 염창동 284-46,도시지역,준공업지역,건축선,도로,
70,ST-2945,서울특별시 강서구 마곡동 800-23,,37.557915,126.832977,강서,서울 강서구 마곡동 800-23,제3종일반주거지역,도시지역,일반상업지역,준공업지역,
71,ST-2944,서울특별시 강서구 양천로55길 55 강서한강자이,,37.567245,126.850388,강서,서울 강서구 양천로55길 55,도시지역,준공업지역,중요시설물보호지구(공항),제1종지구단위계획구역,
72,ST-2943,서울특별시 강서구 가양동,,37.569027,126.839882,강서,,,,,,
73,ST-2890,서울특별시 강서구 마곡동 222-32,,37.573341,126.823318,강서,서울 강서구 마곡동 222-32,도시지역,자연녹지지역,중요시설물보호지구(공항),기타녹지시설,
74,ST-2889,서울특별시 강서구 마곡동 767-3,,37.563541,126.824554,강서,서울 강서구 마곡동 767-3,도시지역,일반상업지역,준공업지역,중요시설물보호지구(공항),
75,ST-2888,서울특별시 강서구 내발산동 657-2,,37.555454,126.837517,강서,서울 강서구 내발산동 657-2,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
76,ST-2887,서울특별시 강서구 곰달래로37길 13 화곡2동주민센터,,37.531822,126.854622,강서,서울 강서구 곰달래로37길 13,제2종일반주거지역,도시지역,중요시설물보호지구(공항),과밀억제권역,
77,ST-2886,서울특별시 강서구 마곡동 799,,37.559311,126.827438,강서,서울 강서구 마곡동 799,도시지역,일반상업지역,중요시설물보호지구(공항),지구단위계획구역,
78,ST-2885,서울특별시 강서구 마곡동 799,,37.55933,126.827179,강서,서울 강서구 마곡동 799,도시지역,일반상업지역,중요시설물보호지구(공항),지구단위계획구역,
79,ST-2884,서울특별시 강서구 마곡동 799,,37.559059,126.827049,강서,서울 강서구 마곡동 799,도시지역,일반상업지역,중요시설물보호지구(공항),지구단위계획구역,
80,ST-2883,서울특별시 강서구 방화동 849-2,,37.571087,126.807541,강서,서울 강서구 방화동 849-2,도시지역,제2종일반주거지역,준주거지역,중요시설물보호지구(공항),
81,ST-2871,서울특별시 강서구 마곡동 798,,37.559746,126.824387,강서,서울 강서구 마곡동 798,도시지역,일반상업지역,중요시설물보호지구(공항),지구단위계획구역,
82,ST-2858,서울특별시 강서구 마곡서1로 48,,37.560593,126.820847,강서,서울 강서구 마곡서1로 48,도시지역,준주거지역,중요시설물보호지구(공항),지구단위계획구역,
83,ST-2857,서울특별시 강서구 방화대로 294 마곡더블유타워,,37.566929,126.816841,강서,서울 강서구 방화대로 294,도시지역,일반상업지역,건축선,중요시설물보호지구(공항),
84,ST-2832,서울특별시 강서구 마곡중앙로 33 마곡엠밸리14단지,,37.557373,126.823326,강서,서울 강서구 마곡중앙로 33,제3종일반주거지역,도시지역,중요시설물보호지구(공항),지구단위계획구역,
85,ST-2831,서울특별시 강서구 공항대로 103,,37.560684,126.819183,강서,서울 강서구 마곡동 747,도시지역,준주거지역,중요시설물보호지구(공항),지구단위계획구역,
86,ST-2790,서울특별시 강서구 마곡동 780-8,,37.567192,126.834755,강서,서울 강서구 마곡동 780-8,도시관리계획 입안중,자연녹지지역,도시지역,준공업지역,
87,ST-2789,서울특별시 강서구 마곡동 744-2,,37.561085,126.816795,강서,서울 강서구 마곡동 744-2,,,,,
88,ST-2752,서울특별시 강서구 남부순환로 205,,37.547398,126.821411,강서,서울 강서구 남부순환로 205,도시지역,준주거지역,중요시설물보호지구(공항),제1종지구단위계획구역,
89,ST-2627,서울특별시 강서구 하늘길 112,,37.556885,126.809265,강서,서울 강서구 하늘길 112,제3종일반주거지역,자연녹지지역,도시지역,중요시설물보호지구(공항),
90,ST-2613,서울특별시 강서구 공항대로 308,,37.558029,126.841835,강서,서울 강서구 공항대로 308-7,제3종일반주거지역,도시관리계획 입안중,도시지역,중요시설물보호지구(공항),
91,ST-2612,서울특별시 강서구 양천로452,,37.563011,126.851006,강서,서울 강서구 양천로 452,도시지역,준공업지역,건축선,중요시설물보호지구(공항),
92,ST-2611,서울특별시 강서구 초원로16길 3-9 안성빌라,,37.567406,126.816216,강서,서울 강서구 초원로16길 3-8,제3종일반주거지역,도시지역,중요시설물보호지구(공항),과밀억제권역,
93,ST-2569,서울특별시 강서구 마곡동 769-4,,37.558632,126.835594,강서,서울 강서구 마곡동 769-4,,,,,
94,ST-2558,서울특별시 강서구 강서로 242 강서힐스테이트,,37.546638,126.836578,강서,서울 강서구 강서로 242,제3종일반주거지역,도시지역,중요시설물보호지구(공항),아파트지구,
95,ST-2557,서울특별시 강서구 화곡로 347,,37.555107,126.851547,강서,서울 강서구 화곡로 347,제3종일반주거지역,도시관리계획 입안중,도시지역,일반상업지역,
96,ST-2556,서울특별시 강서구 내발산동 755,,37.548573,126.820763,강서,서울 강서구 내발산동 755,도시지역,제1종일반주거지역,중요시설물보호지구(공항),제1종지구단위계획구역,
97,ST-2555,서울특별시 강서구 공항동 34-69,,37.560879,126.813545,강서,서울 강서구 공항동 34-69,도시지역,제2종일반주거지역,중요시설물보호지구(공항),철도,
98,ST-2554,서울특별시 강서구 공항대로 49-2 공항신성빌딩,,37.56131,126.813072,강서,서울 강서구 공항대로 49-2,제3종일반주거지역,도시관리계획 입안중,도시지역,건축선,
99,ST-2553,서울특별시 강서구 염창동 119,,37.551952,126.876709,강서,서울 강서구 염창동 119,도시관리계획 입안중,도시지역,자연녹지지역,준공업지역,
100,ST-2552,서울특별시 강서구 양천로 400-12 더리브골드타워,,37.565571,126.846245,강서,서울 강서구 양천로 400-12,도시지역,준공업지역,건축선,중요시설물보호지구(공항),
101,ST-2551,서울특별시 강서구 화곡로 206 삼영빌딩,,37.543827,126.843689,강서,서울 강서구 화곡로 206,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
102,ST-2550,서울특별시 강서구 양천로 559 가양이마트,,37.557133,126.863144,강서,서울 강서구 양천로 559,제3종일반주거지역,도시관리계획 입안중,도시지역,준공업지역,
103,ST-2540,서울특별시 강서구 강서로 191 화평빌딩,강서로191,37.54324,126.838631,강서,서울 강서구 강서로 191,제3종일반주거지역,도시관리계획 입안중,도시지역,건축선,
104,ST-2539,서울특별시 강서구 화곡로 215 강서문화센터,,37.544579,126.843781,강서,서울 강서구 화곡로 215,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항),
105,ST-2538,서울특별시 강서구 공항대로 260 이화의대부속서울병원,,37.55846,126.836761,강서,서울 강서구 공항대로 260,상업지역,상업지역,상업지역,상업지역,
106,ST-2495,서울특별시 강서구 방화동 874-1,,37.569839,126.807564,강서,서울 강서구 방화동 874-1,제3종일반주거지역,도시지역,중요시설물보호지구(공항),과밀억제권역,
107,ST-2494,서울특별시 강서구 염창동 223-4번지,,37.556805,126.871559,강서,서울 강서구 염창동 223-4,도시지역,자연녹지지역,준공업지역,도로,
108,ST-2493,서울특별시 강서구 방화동 57-5번지,,37.584171,126.819328,강서,서울 강서구 방화동 57-5,,,,,
109,ST-2492,서울특별시 강서구 가양동 1456-6,,37.573864,126.843475,강서,서울 강서구 가양동 1456-6,도시지역,자연녹지지역,중요시설물보호지구(공항),제1종지구단위계획구역,
110,ST-2491,서울특별시 강서구 양천로47길 112,,37.575317,126.83667,강서,서울 강서구 양천로47길 112,도시지역,준공업지역,중요시설물보호지구(공항),과밀억제권역,
