날짜,미세먼지,초미세먼지
2023-04-01,111,56
2023-04-02,60,32
2023-04-03,58,32
2023-04-04,38,18
2023-04-05,20,10
2023-04-06,73,55
2023-04-07,74,33
2023-04-08,45,5
2023-04-09,71,14
2023-04-10,50,14
2023-04-11,79,17
2023-04-12,286,24
2023-04-13,217,24
2023-04-14,104,16
2023-04-15,66,19
2023-04-16,120,28
2023-04-17,112,23
2023-04-18,53,18
2023-04-19,42,21
2023-04-20,22,12
2023-04-21,66,16
2023-04-22,60,13
2023-04-23,58,14
2023-04-24,56,14
2023-04-25,40,14
2023-04-26,30,11
2023-04-27,42,20
2023-04-28,42,18
2023-04-29,31,14
2023-04-30,46,14
2023-05-01,47,16
2023-05-01,47,16
2023-05-02,37,12
2023-05-02,37,12
2023-05-03,49,19
2023-05-03,49,19
2023-05-04,50,24
2023-05-04,50,24
2023-05-05,12,5
2023-05-05,12,5
2023-05-06,18,7
2023-05-06,18,7
2023-05-07,37,23
2023-05-07,37,23
2023-05-08,42,23
2023-05-08,42,23
2023-05-09,61,32
2023-05-09,61,32
2023-05-10,70,38
2023-05-10,70,38
2023-05-11,56,24
2023-05-11,56,24
2023-05-12,59,31
2023-05-12,59,31
2023-05-13,46,25
2023-05-13,46,25
2023-05-14,29,15
2023-05-14,29,15
2023-05-15,41,21
2023-05-15,41,21
2023-05-16,61,32
2023-05-16,61,32
2023-05-17,34,13
2023-05-17,34,13
2023-05-18,40,20
2023-05-18,40,20
2023-05-19,27,13
2023-05-19,27,13
2023-05-20,25,13
2023-05-20,25,13
2023-05-21,77,20
2023-05-21,77,20
2023-05-22,140,28
2023-05-22,140,28
2023-05-23,79,16
2023-05-23,79,16
2023-05-24,40,15
2023-05-24,40,15
2023-05-25,34,11
2023-05-25,34,11
2023-05-26,37,13
2023-05-26,37,13
2023-05-27,32,14
2023-05-27,32,14
2023-05-28,10,5
2023-05-28,10,5
2023-05-29,16,7
2023-05-29,16,7
2023-05-30,38,19
2023-05-30,38,19
2023-05-31,27,12
2023-05-31,27,12
2023-06-01,41,21
2023-06-02,31,14
2023-06-03,35,12
2023-06-04,39,17
2023-06-05,31,14
2023-06-06,21,9
2023-06-07,34,17
2023-06-08,19,9
2023-06-09,29,15
2023-06-10,36,21
2023-06-11,24,15
2023-06-12,33,19
2023-06-13,29,15
2023-06-14,31,19
2023-06-15,34,21
2023-06-16,24,15
2023-06-17,21,10
2023-06-18,27,15
2023-06-19,45,28
2023-06-20,36,21
2023-06-21,11,5
2023-06-22,20,11
2023-06-23,42,29
2023-06-24,41,27
2023-06-25,29,20
2023-06-26,16,10
2023-06-27,20,10
2023-06-28,33,23
2023-06-29,34,24
2023-06-30,41,28
2023-07-01,22,15
2023-07-02,19,12
2023-07-03,31,21
2023-07-04,30,23
2023-07-05,27,15
2023-07-06,47,27
2023-07-07,41,20
2023-07-08,10,5
2023-07-09,17,11
2023-07-10,35,22
2023-07-11,20,11
2023-07-12,25,15
2023-07-13,25,15
2023-07-14,25,11
2023-07-15,28,14
2023-07-16,34,14
2023-07-17,25,12
2023-07-18,18,9
2023-07-19,31,18
2023-07-20,53,36
2023-07-21,58,43
2023-07-22,30,22
2023-07-23,9,5
2023-07-24,20,13
2023-07-25,15,9
2023-07-26,13,5
2023-07-27,22,14
2023-07-28,31,23
2023-07-29,27,20
2023-07-30,14,9
2023-07-31,31,23
2023-08-01,34,25
2023-08-02,35,25
2023-08-03,26,17
2023-08-04,23,14
2023-08-05,22,13
2023-08-06,26,17
2023-08-07,13,7
2023-08-08,9,3
2023-08-09,9,3
2023-08-10,6,1
2023-08-11,18,9
2023-08-12,20,11
2023-08-13,31,19
2023-08-14,44,28
2023-08-15,30,19
2023-08-16,21,12
2023-08-17,28,18
2023-08-18,38,28
2023-08-19,24,16
2023-08-20,28,17
2023-08-21,27,16
2023-08-22,23,14
2023-08-23,10,5
2023-08-24,6,3
2023-08-25,19,10
2023-08-26,37,23
2023-08-27,30,20
2023-08-28,14,9
2023-08-29,13,7
2023-08-30,18,9
2023-08-31,20,11
2023-09-01,26,13
2023-09-02,31,18
2023-09-03,18,11
2023-09-04,19,11
2023-09-05,20,11
2023-09-06,20,11
2023-09-07,18,9
2023-09-08,18,8
2023-09-09,34,18
2023-09-10,32,20
2023-09-11,27,16
2023-09-12,29,17
2023-09-13,23,15
2023-09-14,8,2
2023-09-15,8,4
2023-09-16,11,6
2023-09-17,15,12
2023-09-18,15,10
2023-09-19,26,17
2023-09-20,25,18
2023-09-21,16,6
2023-09-22,21,8
2023-09-23,20,9
2023-09-24,12,4
2023-09-25,14,4
2023-09-26,6,2
2023-09-27,11,4
2023-09-28,48,30
2023-09-29,35,16
2023-09-30,29,11
2023-10-01,25,7
2023-10-02,18,7
2023-10-03,22,10
2023-10-04,24,12
2023-10-05,34,4
2023-10-06,26,9
2023-10-07,22,10
2023-10-08,12,5
2023-10-09,12,5
2023-10-10,28,14
2023-10-11,27,13
2023-10-12,30,16
2023-10-13,34,19
2023-10-14,25,16
2023-10-15,25,14
2023-10-16,45,15
2023-10-17,34,11
2023-10-18,34,15
2023-10-19,30,16
2023-10-20,20,5
2023-10-21,19,5
2023-10-22,25,8
2023-10-23,30,13
2023-10-24,33,19
2023-10-25,36,20
2023-10-26,54,35
2023-10-27,35,14
2023-10-28,38,16
2023-10-29,32,15
2023-10-30,42,21
2023-10-31,43,23
2023-11-01,42,19
2023-11-02,35,14
2023-11-03,32,12
2023-11-04,58,16
2023-11-05,14,8
2023-11-06,23,6
2023-11-07,21,6
2023-11-08,26,11
2023-11-09,31,15
2023-11-10,17,7
2023-11-11,20,9
2023-11-12,19,8
2023-11-13,24,11
2023-11-14,27,13
2023-11-15,50,28
2023-11-16,46,31
2023-11-17,19,7
2023-11-18,24,11
2023-11-19,42,21
2023-11-20,33,15
2023-11-21,39,21
2023-11-22,40,23
2023-11-23,100,50
2023-11-24,17,7
2023-11-25,20,8
2023-11-26,26,13
2023-11-27,41,22
2023-11-28,31,16
2023-11-29,18,7
2023-11-30,20,7
2023-12-01,25,9
2023-12-02,33,16
2023-12-03,38,21
2023-12-04,36,22
2023-12-05,35,27
2023-12-06,54,46
2023-12-07,71,15
2023-12-08,96,23
2023-12-09,73,28
2023-12-10,78,26
2023-12-11,6,2
2023-12-12,11,3
2023-12-13,16,6
2023-12-14,9,4
2023-12-15,6,2
2023-12-16,27,8
2023-12-17,16,6
2023-12-18,14,5
2023-12-19,23,12
2023-12-20,48,24
2023-12-21,23,10
2023-12-22,25,9
2023-12-23,31,14
2023-12-24,27,24
2023-12-25,32,30
2023-12-26,46,28
2023-12-27,72,55
2023-12-28,46,37
2023-12-29,40,29
2023-12-30,31,28
2023-12-31,23,17
2024-01-01,22,20
2024-01-02,38,26
2024-01-03,40,28
2024-01-04,56,30
2024-01-05,77,40
2024-01-06,24,13
2024-01-07,26,16
2024-01-08,24,10
2024-01-09,30,23
2024-01-10,63,54
2024-01-11,56,53
2024-01-12,52,29
2024-01-13,28,9
2024-01-14,31,19
2024-01-15,24,6
2024-01-16,31,11
2024-01-17,27,22
2024-01-18,21,22
2024-01-19,16,8
2024-01-20,47,1
2024-01-21,18,4
2024-01-22,33,18
2024-01-23,24,9
2024-01-24,28,9
2024-01-25,24,9
2024-01-26,32,13
2024-01-27,42,31
2024-01-28,28,16
2024-01-29,39,29
2024-01-30,52,38
2024-01-31,49,41
2024-02-01,83,64
2024-02-02,40,34
2024-02-03,27,40
2024-02-04,22,20
2024-02-05,6,2
2024-02-06,16,10
2024-02-07,34,24
2024-02-08,38,29
2024-02-09,33,30
2024-02-10,46,33
2024-02-11,69,33
2024-02-12,64,42
2024-02-13,73,39
2024-02-14,50,23
2024-02-15,18,12
2024-02-16,29,11
2024-02-17,36,28
2024-02-18,25,24
2024-02-19,14,8
2024-02-20,38,14
2024-02-21,35,1
2024-02-22,46,2
2024-02-23,16,4
2024-02-24,34,6
2024-02-25,38,10
2024-02-26,33,19
2024-02-27,46,7
2024-02-28,69,15
2024-02-29,64,32
2024-03-01,73,9
2024-03-02,50,12
2024-03-03,18,59
2024-03-04,29,31
2024-03-05,36,21
2024-03-06,25,7
2024-03-07,29,16
2024-03-08,43,20
2024-03-09,35,15
2024-03-10,30,13
2024-03-11,29,14
2024-03-12,27,21
2024-03-13,46,22
2024-03-14,57,32
2024-03-15,39,26
2024-03-16,37,26
2024-03-17,104,17
2024-03-18,27,6
2024-03-19,51,24
2024-03-20,39,21
2024-03-21,35,17
2024-03-22,44,16
2024-03-23,62,23
2024-03-24,40,18
2024-03-25,25,9
2024-03-26,4,1
2024-03-27,24,15
2024-03-28,25,11
2024-03-29,277,43
2024-03-30,104,23
2024-03-31,50,10
