,대여소_ID,출근대여량,출근반납량,대여-반납량_출근,차이절대값_출근,총이용량_출근,퇴근대여량,퇴근반납량,대여-반납량_퇴근,차이절대값_퇴근,총이용량_퇴근,출퇴근_총이용량,최종용도
0,ST-1062,3743,2281,1462,1462,6024,3947,5456,-1509,1509,9403,15427,주거
1,ST-1063,5029,8839,-3810,3810,13868,5795,3170,2625,2625,8965,22833,상업
2,ST-1064,3764,8489,-4725,4725,12253,9005,5562,3443,3443,14567,26820,상업
3,ST-1065,5860,5507,353,353,11367,14431,16569,-2138,2138,31000,42367,주거
4,ST-1067,3394,2906,488,488,6300,2666,3654,-988,988,6320,12620,주거
5,ST-1069,5673,3377,2296,2296,9050,3473,5300,-1827,1827,8773,17823,주거
6,ST-1249,3917,6278,-2361,2361,10195,7682,6048,1634,1634,13730,23925,상업
7,ST-1250,313,1431,-1118,1118,1744,1584,619,965,965,2203,3947,상업
8,ST-1251,6075,5345,730,730,11420,9586,9818,-232,232,19404,30824,주거
9,ST-1252,224,535,-311,311,759,459,171,288,288,630,1389,상업
10,ST-1253,6247,652,5595,5595,6899,3257,6462,-3205,3205,9719,16618,주거
11,ST-1254,4418,3223,1195,1195,7641,3960,5165,-1205,1205,9125,16766,주거
12,ST-1338,2298,667,1631,1631,2965,1283,1859,-576,576,3142,6107,주거
13,ST-1351,7208,3644,3564,3564,10852,5923,7864,-1941,1941,13787,24639,주거
14,ST-1352,6358,1513,4845,4845,7871,4304,7732,-3428,3428,12036,19907,주거
15,ST-1402,3119,1059,2060,2060,4178,1972,3116,-1144,1144,5088,9266,주거
16,ST-1506,2600,4278,-1678,1678,6878,4034,3020,1014,1014,7054,13932,상업
17,ST-1507,630,486,144,144,1116,1034,584,450,450,1618,2734,주거
18,ST-1508,1045,472,573,573,1517,902,1199,-297,297,2101,3618,주거
19,ST-1509,1935,2183,-248,248,4118,2676,2792,-116,116,5468,9586,주거
20,ST-1510,4401,2007,2394,2394,6408,4341,5618,-1277,1277,9959,16367,주거
21,ST-1511,2211,2843,-632,632,5054,1498,1463,35,35,2961,8015,상업
22,ST-1512,2146,1399,747,747,3545,2115,1629,486,486,3744,7289,주거
23,ST-1514,4170,3598,572,572,7768,1568,3020,-1452,1452,4588,12356,주거
24,ST-1515,825,1285,-460,460,2110,1530,1246,284,284,2776,4886,상업
25,ST-1517,2995,3448,-453,453,6443,4016,4034,-18,18,8050,14493,상업
26,ST-1518,115,1190,-1075,1075,1305,734,103,631,631,837,2142,상업
27,ST-1519,4562,3692,870,870,8254,4620,6364,-1744,1744,10984,19238,주거
28,ST-1520,744,303,441,441,1047,532,418,114,114,950,1997,주거
29,ST-1645,7193,903,6290,6290,8096,3332,7134,-3802,3802,10466,18562,주거
30,ST-1646,2443,1570,873,873,4013,2409,2730,-321,321,5139,9152,주거
31,ST-1647,2059,1078,981,981,3137,1272,1923,-651,651,3195,6332,주거
32,ST-1676,998,1089,-91,91,2087,1620,1737,-117,117,3357,5444,상업
33,ST-1688,881,7017,-6136,6136,7898,7922,3320,4602,4602,11242,19140,상업
34,ST-1689,2772,2866,-94,94,5638,6150,5881,269,269,12031,17669,상업
35,ST-1694,1512,860,652,652,2372,2010,1792,218,218,3802,6174,주거
36,ST-1695,186,430,-244,244,616,511,222,289,289,733,1349,상업
37,ST-1708,303,1255,-952,952,1558,943,401,542,542,1344,2902,상업
38,ST-1709,4546,4174,372,372,8720,3875,4425,-550,550,8300,17020,주거
39,ST-1710,4798,682,4116,4116,5480,2591,4559,-1968,1968,7150,12630,주거
40,ST-1711,367,2794,-2427,2427,3161,1581,103,1478,1478,1684,4845,상업
41,ST-1712,698,11208,-10510,10510,11906,7548,754,6794,6794,8302,20208,상업
42,ST-1713,464,1213,-749,749,1677,709,264,445,445,973,2650,상업
43,ST-1714,1088,2287,-1199,1199,3375,4234,4170,64,64,8404,11779,상업
44,ST-1715,2066,3897,-1831,1831,5963,2544,404,2140,2140,2948,8911,상업
45,ST-1718,23088,22913,175,175,46001,15756,13237,2519,2519,28993,74994,주거
46,ST-1727,3115,2773,342,342,5888,1954,2849,-895,895,4803,10691,주거
47,ST-2018,592,416,176,176,1008,1411,1030,381,381,2441,3449,주거
48,ST-2020,3084,4764,-1680,1680,7848,4621,4867,-246,246,9488,17336,상업
49,ST-2022,1903,670,1233,1233,2573,1394,1903,-509,509,3297,5870,주거
50,ST-2023,3381,617,2764,2764,3998,2443,3996,-1553,1553,6439,10437,주거
51,ST-2024,1911,5299,-3388,3388,7210,5896,4199,1697,1697,10095,17305,상업
52,ST-2025,1139,364,775,775,1503,1256,1789,-533,533,3045,4548,주거
53,ST-2026,1353,615,738,738,1968,1518,1681,-163,163,3199,5167,주거
54,ST-2027,1939,433,1506,1506,2372,1033,2353,-1320,1320,3386,5758,주거
55,ST-2028,740,92,648,648,832,925,341,584,584,1266,2098,주거
56,ST-2029,4896,889,4007,4007,5785,1930,4397,-2467,2467,6327,12112,주거
57,ST-2031,18661,22323,-3662,3662,40984,27533,22552,4981,4981,50085,91069,상업
58,ST-2032,203,2713,-2510,2510,2916,2124,296,1828,1828,2420,5336,상업
59,ST-2033,927,17721,-16794,16794,18648,14171,3574,10597,10597,17745,36393,상업
60,ST-2034,4387,1333,3054,3054,5720,2036,3944,-1908,1908,5980,11700,주거
61,ST-2035,1306,13073,-11767,11767,14379,10752,3553,7199,7199,14305,28684,상업
62,ST-2036,3399,4690,-1291,1291,8089,5542,4764,778,778,10306,18395,상업
63,ST-2037,7917,6576,1341,1341,14493,7707,8706,-999,999,16413,30906,주거
64,ST-2040,3231,5573,-2342,2342,8804,5780,4998,782,782,10778,19582,상업
65,ST-2041,3677,2774,903,903,6451,2794,2597,197,197,5391,11842,상업
66,ST-2042,681,1402,-721,721,2083,1683,1055,628,628,2738,4821,상업
67,ST-2044,1911,11044,-9133,9133,12955,6995,1434,5561,5561,8429,21384,상업
68,ST-2045,11496,9759,1737,1737,21255,17682,22046,-4364,4364,39728,60983,주거
69,ST-2046,943,4880,-3937,3937,5823,4878,2326,2552,2552,7204,13027,상업
70,ST-2047,1417,2843,-1426,1426,4260,4409,4339,70,70,8748,13008,상업
71,ST-2048,1904,5247,-3343,3343,7151,1258,1498,-240,240,2756,9907,주거
72,ST-2049,4127,590,3537,3537,4717,1705,3384,-1679,1679,5089,9806,주거
73,ST-2050,8593,806,7787,7787,9399,2765,7986,-5221,5221,10751,20150,주거
74,ST-2052,2367,3504,-1137,1137,5871,3187,2225,962,962,5412,11283,상업
75,ST-2054,794,715,79,79,1509,1010,1676,-666,666,2686,4195,주거
76,ST-2056,6728,1794,4934,4934,8522,4114,7311,-3197,3197,11425,19947,주거
77,ST-2057,1902,2850,-948,948,4752,3784,5406,-1622,1622,9190,13942,주거
78,ST-2058,4033,671,3362,3362,4704,1998,3224,-1226,1226,5222,9926,주거
79,ST-2059,3635,3394,241,241,7029,3334,5374,-2040,2040,8708,15737,주거
80,ST-2399,583,76,507,507,659,330,601,-271,271,931,1590,주거
81,ST-2411,5577,2825,2752,2752,8402,3967,5460,-1493,1493,9427,17829,주거
82,ST-2412,4551,1089,3462,3462,5640,1428,3612,-2184,2184,5040,10680,주거
83,ST-2419,4034,309,3725,3725,4343,1867,3730,-1863,1863,5597,9940,주거
84,ST-2476,990,435,555,555,1425,713,658,55,55,1371,2796,주거
85,ST-2477,3357,417,2940,2940,3774,1586,2820,-1234,1234,4406,8180,주거
86,ST-2478,683,327,356,356,1010,484,899,-415,415,1383,2393,주거
87,ST-2479,1577,1111,466,466,2688,1516,1826,-310,310,3342,6030,주거
88,ST-2480,1343,230,1113,1113,1573,684,1264,-580,580,1948,3521,주거
89,ST-2481,3532,575,2957,2957,4107,2082,3462,-1380,1380,5544,9651,주거
90,ST-2482,4548,2295,2253,2253,6843,3621,5013,-1392,1392,8634,15477,주거
91,ST-2483,1248,1188,60,60,2436,1844,1684,160,160,3528,5964,상업
92,ST-2484,325,296,29,29,621,759,770,-11,11,1529,2150,주거
93,ST-2486,1393,537,856,856,1930,2459,3350,-891,891,5809,7739,주거
94,ST-2487,4341,2051,2290,2290,6392,4789,6025,-1236,1236,10814,17206,주거
95,ST-2488,73,270,-197,197,343,262,186,76,76,448,791,상업
96,ST-2489,2922,849,2073,2073,3771,1831,2943,-1112,1112,4774,8545,주거
97,ST-2490,2645,532,2113,2113,3177,1314,2616,-1302,1302,3930,7107,주거
98,ST-2491,4118,595,3523,3523,4713,2471,4416,-1945,1945,6887,11600,주거
99,ST-2492,194,158,36,36,352,593,730,-137,137,1323,1675,주거
100,ST-2494,932,244,688,688,1176,687,1075,-388,388,1762,2938,주거
101,ST-2538,3370,4607,-1237,1237,7977,3766,2798,968,968,6564,14541,상업
102,ST-2539,567,59,508,508,626,272,356,-84,84,628,1254,주거
103,ST-2550,1748,3403,-1655,1655,5151,3733,2413,1320,1320,6146,11297,상업
104,ST-2551,719,405,314,314,1124,1020,1287,-267,267,2307,3431,주거
105,ST-2552,892,1768,-876,876,2660,1850,1038,812,812,2888,5548,상업
106,ST-2553,1418,301,1117,1117,1719,1049,1751,-702,702,2800,4519,주거
107,ST-2555,2141,649,1492,1492,2790,2206,3351,-1145,1145,5557,8347,주거
108,ST-2556,710,294,416,416,1004,825,957,-132,132,1782,2786,주거
109,ST-2557,8743,3994,4749,4749,12737,6461,9527,-3066,3066,15988,28725,주거
110,ST-2558,856,328,528,528,1184,1491,1175,316,316,2666,3850,주거
111,ST-2569,889,4972,-4083,4083,5861,4068,1503,2565,2565,5571,11432,상업
112,ST-2611,2160,657,1503,1503,2817,2787,3310,-523,523,6097,8914,주거
113,ST-2613,1540,1145,395,395,2685,2142,2854,-712,712,4996,7681,주거
114,ST-2627,286,1415,-1129,1129,1701,1395,413,982,982,1808,3509,상업
115,ST-2752,903,425,478,478,1328,949,826,123,123,1775,3103,주거
116,ST-2789,3167,533,2634,2634,3700,1676,3646,-1970,1970,5322,9022,주거
117,ST-2790,155,1042,-887,887,1197,583,199,384,384,782,1979,상업
118,ST-2831,3058,319,2739,2739,3377,1356,3141,-1785,1785,4497,7874,주거
119,ST-2832,3683,925,2758,2758,4608,2099,2938,-839,839,5037,9645,주거
120,ST-2857,1681,1689,-8,8,3370,3678,3593,85,85,7271,10641,상업
121,ST-2858,3566,1576,1990,1990,5142,2426,2571,-145,145,4997,10139,주거
122,ST-2871,5501,10328,-4827,4827,15829,10568,6131,4437,4437,16699,32528,상업
123,ST-2883,2078,767,1311,1311,2845,2264,2999,-735,735,5263,8108,주거
124,ST-2884,1078,3363,-2285,2285,4441,3426,1945,1481,1481,5371,9812,상업
125,ST-2885,210,871,-661,661,1081,1371,956,415,415,2327,3408,상업
126,ST-2886,534,2546,-2012,2012,3080,3920,2212,1708,1708,6132,9212,상업
127,ST-2887,715,257,458,458,972,630,998,-368,368,1628,2600,주거
128,ST-2888,2208,1399,809,809,3607,4106,5027,-921,921,9133,12740,주거
129,ST-2889,3481,3802,-321,321,7283,3064,3210,-146,146,6274,13557,상업
130,ST-2890,1966,620,1346,1346,2586,1168,1930,-762,762,3098,5684,주거
131,ST-2943,3297,3438,-141,141,6735,3878,3752,126,126,7630,14365,상업
132,ST-2944,2004,1540,464,464,3544,1586,2013,-427,427,3599,7143,주거
133,ST-2945,1201,6098,-4897,4897,7299,5019,2183,2836,2836,7202,14501,상업
134,ST-2946,1259,289,970,970,1548,719,1353,-634,634,2072,3620,주거
135,ST-2947,688,440,248,248,1128,674,581,93,93,1255,2383,주거
136,ST-2965,6400,1023,5377,5377,7423,2366,5696,-3330,3330,8062,15485,주거
137,ST-2992,1140,530,610,610,1670,1756,2018,-262,262,3774,5444,주거
138,ST-2993,2661,3071,-410,410,5732,5375,5451,-76,76,10826,16558,상업
139,ST-2994,1161,894,267,267,2055,2022,2344,-322,322,4366,6421,주거
140,ST-3031,394,3584,-3190,3190,3978,3222,356,2866,2866,3578,7556,상업
141,ST-3068,1863,2025,-162,162,3888,2654,2134,520,520,4788,8676,상업
142,ST-3084,3245,4431,-1186,1186,7676,4826,4228,598,598,9054,16730,상업
143,ST-3094,3151,9502,-6351,6351,12653,8887,6352,2535,2535,15239,27892,상업
144,ST-3100,1851,1382,469,469,3233,2520,2321,199,199,4841,8074,주거
145,ST-3118,224,2537,-2313,2313,2761,1496,385,1111,1111,1881,4642,상업
146,ST-3125,860,461,399,399,1321,1705,1857,-152,152,3562,4883,주거
147,ST-3128,574,9570,-8996,8996,10144,6531,715,5816,5816,7246,17390,상업
148,ST-3129,4067,880,3187,3187,4947,2303,4090,-1787,1787,6393,11340,주거
149,ST-3137,244,3287,-3043,3043,3531,2290,231,2059,2059,2521,6052,상업
150,ST-3145,368,3174,-2806,2806,3542,4216,1989,2227,2227,6205,9747,상업
151,ST-3183,207,63,144,144,270,104,250,-146,146,354,624,주거
152,ST-3226,1792,1572,220,220,3364,3684,3972,-288,288,7656,11020,주거
153,ST-3251,769,10360,-9591,9591,11129,6434,444,5990,5990,6878,18007,상업
154,ST-3259,126,1870,-1744,1744,1996,1448,202,1246,1246,1650,3646,상업
155,ST-3260,99,2871,-2772,2772,2970,2260,321,1939,1939,2581,5551,상업
156,ST-3261,695,1601,-906,906,2296,972,116,856,856,1088,3384,상업
157,ST-3263,34,531,-497,497,565,396,75,321,321,471,1036,상업
158,ST-3276,112,67,45,45,179,171,250,-79,79,421,600,주거
159,ST-3281,60,42,18,18,102,39,62,-23,23,101,203,주거
160,ST-507,376,290,86,86,666,374,422,-48,48,796,1462,주거
161,ST-508,2486,2729,-243,243,5215,3604,4335,-731,731,7939,13154,주거
162,ST-509,321,339,-18,18,660,512,403,109,109,915,1575,주거
163,ST-510,2656,642,2014,2014,3298,1627,3330,-1703,1703,4957,8255,주거
164,ST-511,1127,542,585,585,1669,1023,1694,-671,671,2717,4386,주거
165,ST-512,2645,912,1733,1733,3557,3219,4206,-987,987,7425,10982,주거
166,ST-513,3717,3851,-134,134,7568,7124,7614,-490,490,14738,22306,주거
167,ST-514,4002,755,3247,3247,4757,2456,4975,-2519,2519,7431,12188,주거
168,ST-516,2956,4790,-1834,1834,7746,5280,4462,818,818,9742,17488,상업
169,ST-517,1983,913,1070,1070,2896,2004,2288,-284,284,4292,7188,주거
170,ST-518,2350,490,1860,1860,2840,1708,2917,-1209,1209,4625,7465,주거
171,ST-519,997,1038,-41,41,2035,1777,1629,148,148,3406,5441,주거
172,ST-520,455,946,-491,491,1401,2535,2764,-229,229,5299,6700,주거
173,ST-522,3060,3609,-549,549,6669,8067,7398,669,669,15465,22134,상업
174,ST-523,1171,481,690,690,1652,2918,2123,795,795,5041,6693,주거
175,ST-524,963,385,578,578,1348,1439,1853,-414,414,3292,4640,주거
176,ST-525,1829,1752,77,77,3581,3317,3497,-180,180,6814,10395,주거
177,ST-526,556,531,25,25,1087,854,625,229,229,1479,2566,주거
178,ST-528,3026,3258,-232,232,6284,2528,2612,-84,84,5140,11424,주거
179,ST-530,3693,1516,2177,2177,5209,1827,2695,-868,868,4522,9731,주거
180,ST-531,677,161,516,516,838,452,483,-31,31,935,1773,주거
181,ST-532,358,102,256,256,460,221,246,-25,25,467,927,주거
182,ST-533,789,177,612,612,966,465,1061,-596,596,1526,2492,주거
183,ST-534,223,345,-122,122,568,860,958,-98,98,1818,2386,주거
184,ST-535,363,266,97,97,629,639,843,-204,204,1482,2111,주거
185,ST-536,137,92,45,45,229,218,414,-196,196,632,861,주거
186,ST-538,2754,256,2498,2498,3010,1010,1911,-901,901,2921,5931,주거
187,ST-824,3974,1880,2094,2094,5854,4373,5912,-1539,1539,10285,16139,주거
188,ST-828,2632,1403,1229,1229,4035,1439,2457,-1018,1018,3896,7931,주거
189,ST-829,1332,943,389,389,2275,1792,1846,-54,54,3638,5913,주거
190,ST-831,2756,1529,1227,1227,4285,3970,4425,-455,455,8395,12680,주거
191,ST-834,3297,4316,-1019,1019,7613,6179,6293,-114,114,12472,20085,주거
192,ST-835,4264,2058,2206,2206,6322,5461,7917,-2456,2456,13378,19700,주거
193,ST-975,2954,2508,446,446,5462,7355,8050,-695,695,15405,20867,주거
194,ST-3284,0,0,0,0,0,10,4,6,6,14,14,주거
